unique_id,business_name,address,pin_code,pan,gstin,source_system,name_norm,addr_norm,pan_valid,gstin_valid,pan_clean,gstin_clean
BBMP/560100/0001,Rubber Karnataka Pvt Ltd,"779/2, Industrial Road, Electronic City Phase 1, Bengaluru, B'lore",560100,NSCFT4462Z,29NSCFT4462Z7ZD,BBMP,karnataka limited private rubber,"779 2, industrial road, electronic city phase 1, bangalore, bangalore",True,True,NSCFT4462Z,29NSCFT4462Z7ZD
BBMP/560100/0003,Electronics Southern Works,"Cross Road, Bommanahalli, Bengaluru, B'lore",560100,CLCFJ6314Z,29CLCFJ6314Z4ZS,BBMP,electronics southern works,"cross road, bommanahalli, bangalore, bangalore",True,True,CLCFJ6314Z,29CLCFJ6314Z4ZS
BBMP/560058/0004,Wipro Engineering Pvt Ltd,"179/3, 1st Cross, Peenya, Bengaluru, B'lore",560058,WIMCH8181C,,BBMP,engineering limited private wipro,"179 3, 1st cross, peenya, bangalore, bangalore",True,False,WIMCH8181C,
BBMP/560058/0005,Southern Packaging & Co,"236/5, Ring Road, Peenya 1st Stage, Bengaluru, 560058",560058,QIWCX3777M,29QIWCX3777M2ZS,BBMP,company packaging southern,"236 5, ring road, peenya 1st stage, bangalore, 560058",True,True,QIWCX3777M,29QIWCX3777M2ZS
BBMP/560058/0007,Janatha Motors Mfg,"480/9, 3rd Main, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,TVPAJ2013S,,BBMP,janatha manufacturing motors,"480 9, 3rd main, rajajinagar industrial estate, bangalore, 560058",True,False,TVPAJ2013S,
BBMP/560058/0008,Motors Infosys Private Limited,"132/3, 2nd Cross, BEL Road, Bengaluru, B'lore",560058,KYEFI2486F,29KYEFI2486F8ZU,BBMP,infosys limited motors private,"132 3, 2nd cross, bel road, bangalore, bangalore",True,True,KYEFI2486F,29KYEFI2486F8ZU
BBMP/560058/0010,Venkateshwara Paints Enterprises,"743/3, Cross Road, Peenya 2nd Stage, Bengaluru, 560058",560058,OANCM1876Y,29OANCM1876Y3ZL,BBMP,enterprises paints venkateshwara,"743 3, cross road, peenya 2nd stage, bangalore, 560058",True,True,OANCM1876Y,29OANCM1876Y3ZL
BBMP/560058/0013,Indian Electronics Co,"1st Cross, Peenya Industrial Area, Bengaluru, 560058",560058,,,BBMP,company electronics indian,"1st cross, peenya industrial area, bangalore, 560058",False,False,,
BBMP/560058/0014,Southern Rubber Pvt. Ltd.,"Industrial Road, Yeshwanthpur, Bengaluru, 560058",560058,LFUPE4816F,29LFUPE4816F9ZY,BBMP,limited private rubber southern,"industrial road, yeshwanthpur, bangalore, 560058",True,True,LFUPE4816F,29LFUPE4816F9ZY
BBMP/560058/0016,Shree Packaging Enterp,"158/2, Service Road, Peenya, Bengaluru, B'lore",560058,,,BBMP,enterprises packaging shree,"158 2, service road, peenya, bangalore, bangalore",False,False,,
BBMP/560100/0017,Valves New & Co,"3rd Main, Hosur Road, Bengaluru, 560100",560100,IIDHQ2923D,29IIDHQ2923D5ZF,BBMP,company new valves,"3rd main, hosur road, bangalore, 560100",True,True,IIDHQ2923D,29IIDHQ2923D5ZF
BBMP/560100/0018,Cables Janatha Enterp,"Service Road, Electronic City Phase 1, Bengaluru, 560100",560100,UBYFO7356B,,BBMP,cables enterprises janatha,"service road, electronic city phase 1, bangalore, 560100",True,False,UBYFO7356B,
BBMP/560058/0019,Wipro Pumps International,"839/5, Industrial Road, Peenya, Bengaluru, 560058",560058,CVTFM6093X,,BBMP,international pumps wipro,"839 5, industrial road, peenya, bangalore, 560058",True,False,CVTFM6093X,
BBMP/560100/0020,United Valves Group,"259/9, Ring Road, Electronic City Phase 2, Bengaluru, 560100",560100,LDICE8235H,29LDICE8235H3Z0,BBMP,group united valves,"259 9, ring road, electronic city phase 2, bangalore, 560100",True,True,LDICE8235H,29LDICE8235H3Z0
BBMP/560058/0021,Karnataka Valves International,"306/4, Factory Road, Peenya 1st Stage, Bengaluru, 560058",560058,,,BBMP,international karnataka valves,"306 4, factory road, peenya 1st stage, bangalore, 560058",False,False,,
BBMP/560058/0022,Infosys Plastics Works,"1st Cross, BEL Road, Bengaluru, 560058",560058,JBICR9988U,29JBICR9988U7ZU,BBMP,infosys plastics works,"1st cross, bel road, bangalore, 560058",True,True,JBICR9988U,29JBICR9988U7ZU
BBMP/560058/0023,Garments Wipro Pvt Ltd,"Service Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,SUCHR2631F,,BBMP,garments limited private wipro,"service road, peenya 2nd stage, bangalore, bangalore",True,False,SUCHR2631F,
BBMP/560100/0024,Mahalaxmi Foods Group,"269/2, Cross Road, Electronic City Phase 1, Bengaluru, 560100",560100,KPPHT6294E,,BBMP,foods group mahalaxmi,"269 2, cross road, electronic city phase 1, bangalore, 560100",True,False,KPPHT6294E,
BBMP/560058/0026,Mphasis Motors Group,"980/3, Service Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,UNBHA8794U,29UNBHA8794U8ZV,BBMP,group motors mphasis,"980 3, service road, rajajinagar industrial estate, bangalore, 560058",True,True,UNBHA8794U,29UNBHA8794U8ZV
BBMP/560058/0027,Mphasis Pharmaceuticals Corporation,"Main Road, Peenya 1st Stage, Bengaluru, B'lore",560058,OWYCP7238W,29OWYCP7238W6ZN,BBMP,corporation mphasis pharmaceuticals,"main road, peenya 1st stage, bangalore, bangalore",True,True,OWYCP7238W,29OWYCP7238W6ZN
BBMP/560100/0028,Star Chemicals Factory,"Main Road, Hosur Road, Bengaluru, B'lore",560100,SGXPW8182K,29SGXPW8182K7ZA,BBMP,chemicals factory star,"main road, hosur road, bangalore, bangalore",True,True,SGXPW8182K,29SGXPW8182K7ZA
BBMP/560058/0030,Star Garments Pvt Ltd,"747/5, Factory Road, BEL Road, Bengaluru, B'lore",560058,AEOAU4842F,29AEOAU4842F3ZU,BBMP,garments limited private star,"747 5, factory road, bel road, bangalore, bangalore",True,True,AEOAU4842F,29AEOAU4842F3ZU
BBMP/560100/0031,Mphasis Rubber Mfrs,"989/8, Main Road, Hosur Road, Bengaluru, 560100",560100,MJXHK8717R,29MJXHK8717R9Z0,BBMP,manufacturers mphasis rubber,"989 8, main road, hosur road, bangalore, 560100",True,True,MJXHK8717R,29MJXHK8717R9Z0
BBMP/560100/0033,Srinivasa Pharmaceuticals Group,"Ring Road, Kudlu Gate, Bengaluru, 560100",560100,,,BBMP,group pharmaceuticals srinivasa,"ring road, kudlu gate, bangalore, 560100",False,False,,
BBMP/560058/0034,Titan Packaging Enterprises,"983/6, 1st Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,KPGHJ8906C,29KPGHJ8906C4Z7,BBMP,enterprises packaging titan,"983 6, 1st cross, peenya 2nd stage, bangalore, 560058",True,True,KPGHJ8906C,29KPGHJ8906C4Z7
BBMP/560058/0035,United Plastics Enterprises,"510/3, 1st Cross, BEL Road, Bengaluru, B'lore",560058,URRAE0940J,29URRAE0940J5ZF,BBMP,enterprises plastics united,"510 3, 1st cross, bel road, bangalore, bangalore",True,True,URRAE0940J,29URRAE0940J5ZF
BBMP/560058/0036,Srinivasa Paper Co,"Ring Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",560058,,,BBMP,company paper srinivasa,"ring road, rajajinagar industrial estate, bangalore, bangalore",False,False,,
BBMP/560100/0038,Mphasis Steel Factory,"Industrial Road, Hosur Road, Bengaluru, B'lore",560100,YJRHV8566B,29YJRHV8566B6ZF,BBMP,factory mphasis steel,"industrial road, hosur road, bangalore, bangalore",True,True,YJRHV8566B,29YJRHV8566B6ZF
BBMP/560058/0039,Karnataka Electricals Private Limited,"603/5, Cross Road, Peenya 1st Stage, Bengaluru, B'lore",560058,,,BBMP,electricals karnataka limited private,"603 5, cross road, peenya 1st stage, bangalore, bangalore",False,False,,
BBMP/560100/0040,Bangalore Furniture Manufacturers,"Ring Road, Neeladri Nagar, Bengaluru, 560100",560100,TUPFD8090T,,BBMP,bangalore furniture manufacturers,"ring road, neeladri nagar, bangalore, 560100",True,False,TUPFD8090T,
BBMP/560100/0042,National Foundry Limited,"Main Road, Electronic City Phase 2, Bengaluru, 560100",560100,NODAY5513E,29NODAY5513E9Z6,BBMP,foundry limited national,"main road, electronic city phase 2, bangalore, 560100",True,True,NODAY5513E,29NODAY5513E9Z6
BBMP/560100/0043,Sunrise Fabrics Manufacturers,"2nd Cross, Electronic City Phase 1, Bengaluru, B'lore",560100,QDEPH7822P,,BBMP,fabrics manufacturers sunrise,"2nd cross, electronic city phase 1, bangalore, bangalore",True,False,QDEPH7822P,
BBMP/560058/0044,Venkateshwara Printing Traders,"914/5, 3rd Main, Peenya, Bengaluru, B'lore",560058,XVUPE2503Q,29XVUPE2503Q4ZZ,BBMP,printing traders venkateshwara,"914 5, 3rd main, peenya, bangalore, bangalore",True,True,XVUPE2503Q,29XVUPE2503Q4ZZ
BBMP/560058/0045,Mphasis Auto Parts Limited,"3rd Main, Peenya 2nd Stage, Bengaluru, 560058",560058,FNNPO6402C,29FNNPO6402C7ZU,BBMP,auto limited mphasis parts,"3rd main, peenya 2nd stage, bangalore, 560058",True,True,FNNPO6402C,29FNNPO6402C7ZU
BBMP/560100/0046,Premier Cables Factory,"423/9, Factory Road, Bommanahalli, Bengaluru, 560100",560100,AIICI3223Z,,BBMP,cables factory premier,"423 9, factory road, bommanahalli, bangalore, 560100",True,False,AIICI3223Z,
BBMP/560100/0047,Venkateshwara Valves Limited,"198/5, Main Road, Electronic City Phase 2, Bengaluru, 560100",560100,PSAAT8411Y,29PSAAT8411Y2ZU,BBMP,limited valves venkateshwara,"198 5, main road, electronic city phase 2, bangalore, 560100",True,True,PSAAT8411Y,29PSAAT8411Y2ZU
BBMP/560058/0048,Bengaluru Pumps Ltd,"656/3, Industrial Road, Peenya 2nd Stage, Bengaluru, 560058",560058,,,BBMP,bangalore limited pumps,"656 3, industrial road, peenya 2nd stage, bangalore, 560058",False,False,,
BBMP/560058/0049,Bengaluru Leather Group,"1/3, Main Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,ILVPY3832X,,BBMP,bangalore group leather,"1 3, main road, rajajinagar industrial estate, bangalore, 560058",True,False,ILVPY3832X,
BBMP/560100/0050,Balaji Pipes Pvt Ltd,"294/2, Main Road, Kudlu Gate, Bengaluru, B'lore",560100,WNHAD9411L,29WNHAD9411L6ZW,BBMP,balaji limited pipes private,"294 2, main road, kudlu gate, bangalore, bangalore",True,True,WNHAD9411L,29WNHAD9411L6ZW
