source,source_record_id,event_category,event_date,is_terminal,is_high_reliability,payload
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-05-06,False,True,"{""consumption_kwh"": 70747.8}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-06-05,False,True,"{""consumption_kwh"": 67065.8}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-07-05,False,True,"{""consumption_kwh"": 77710.1}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-08-04,False,True,"{""consumption_kwh"": 65396.8}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-09-03,False,True,"{""consumption_kwh"": 75261.2}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-10-03,False,True,"{""consumption_kwh"": 71638.7}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-11-02,False,True,"{""consumption_kwh"": 65089.5}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2025-12-02,False,True,"{""consumption_kwh"": 74655.8}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2026-01-01,False,True,"{""consumption_kwh"": 64653.1}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2026-01-31,False,True,"{""consumption_kwh"": 73085.1}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2026-03-02,False,True,"{""consumption_kwh"": 65341.9}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2026-04-01,False,True,"{""consumption_kwh"": 65785.8}"
ESCOM,ESCOM/560100/000001,ELECTRICITY_READING,2026-05-01,False,True,"{""consumption_kwh"": 72890.9}"
BBMP,BBMP/560100/0001,LICENCE_RENEWAL,2025-12-12,False,False,"{""fee_paid"": 1057.0}"
LABOUR,KR/BN/00001/000,PF_FILING,2025-05-13,False,False,"{""employees"": 188, ""wages"": 2820000}"
LABOUR,KR/BN/00001/000,PF_FILING,2025-08-05,False,False,"{""employees"": 188, ""wages"": 2820000}"
LABOUR,KR/BN/00001/000,PF_FILING,2025-11-14,False,False,"{""employees"": 188, ""wages"": 2820000}"
LABOUR,KR/BN/00001/000,PF_FILING,2026-02-01,False,False,"{""employees"": 188, ""wages"": 2820000}"
LABOUR,KR/BN/00002/000,PF_FILING,2025-05-09,False,False,"{""employees"": 625, ""wages"": 9375000}"
LABOUR,KR/BN/00002/000,PF_FILING,2025-08-11,False,False,"{""employees"": 625, ""wages"": 9375000}"
LABOUR,KR/BN/00002/000,PF_FILING,2025-11-10,False,False,"{""employees"": 625, ""wages"": 9375000}"
