consumer_no,consumer_name,service_address,pin_code,connection_type,sanctioned_load_kw,connected_load_kw,tariff_category,pan,gstin,connection_date,connection_status,meter_no,mobile
ESCOM/560100/000001,Karnataka Rubber Private Limited,"Industrial Road, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,425.7,332.1,LT-2,NSCFT4462Z,29NSCFT4462Z7ZD,2004-11-24,ACTIVE,M89143074,9809279383
ESCOM/560100/000003,Southern Electronics Works,"Cross Road, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,67.5,51.0,LT-6,CLCFJ6314Z,29CLCFJ6314Z4ZS,2001-02-15,ACTIVE,M83388429,
ESCOM/560058/000004,Wipro Engg. P Ltd,"179/3, 1st Cross, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,171.7,104.6,LT-3,WIMCH8181C,29WIMCH8181C1Z3,1997-05-13,ACTIVE,M22830194,9504773040
ESCOM/560058/000005,Southern Packaging & Co,"236/5, Ring Road, Peenya 1st Stage, Bengaluru, 560058",560058,INDUSTRIAL,254.1,239.8,LT-1,QIWCX3777M,29QIWCX3777M2ZS,2015-07-13,ACTIVE,M28423631,9375106124
ESCOM/560100/000006,Indian Pharmaceuticals Traders,"695/8, 3rd Main, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,203.0,137.7,LT-5,XIRHW2886Z,29XIRHW2886Z7ZE,2000-08-20,ACTIVE,M88959251,9471016842
ESCOM/560058/000007,Janatha Motors Manufacturers,"3rd Main, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,485.6,418.4,LT-2,TVPAJ2013S,,2003-01-24,DISCONNECTED,M35900945,9421822394
ESCOM/560100/000009,Ceramics Premier Works,"597/6, Main Road, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,63.0,51.2,LT-4,DXKCB3271O,,2007-11-05,ACTIVE,M55892531,
ESCOM/560058/000010,Venkateshwara Paints Ent,"743/3, Cross Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,220.9,141.3,LT-4,OANCM1876Y,29OANCM1876Y3ZL,1995-07-19,ACTIVE,M34112555,
ESCOM/560058/000012,Raghavendra Plastics Corporation,"2nd Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,124.7,86.5,LT-6,POSHA7974W,29POSHA7974W4ZB,2011-05-04,SURRENDERED,M51294919,
ESCOM/560058/000014,Southern Rubber Pvt Ltd,"239/8, Industrial Road, Yeshwanthpur, Bengaluru, 560058",560058,INDUSTRIAL,117.3,108.4,LT-4,LFUPE4816F,29LFUPE4816F9ZY,2013-06-28,ACTIVE,M12450567,9358240188
