pf_code,establishment_name,employer_name,industry_class,address,district,pin_code,pan,gstin,esi_code,coverage_date,num_employees,wages_month,mobile,email,nic_code
KR/BN/00001/000,Rubber Karnataka Private Limited,Smt Rubber Karnataka Private Limited,Packaging,"779/2, Industrial Road, Electronic City Phase 1, Bengaluru, 560100",Bengaluru Urban,560100,NSCFT4462Z,29NSCFT4462Z7ZD,ESI0000001,2005-11-26,188,2910718.0,,,1709
KR/BN/00002/000,Garments Infosys Limited,Smt Garments Infosys Limited,Auto Components,"372/9, Factory Road, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,,,ESI0000002,1991-12-22,625,10705889.0,9312686669,,2930
KR/BN/00004/000,Wipro Engg Pvt. Ltd.,Shri Wipro Engg Pvt. Ltd.,Paper Printing,"1st Cross, Peenya, Bengaluru, B'lore",Bengaluru Urban,560058,WIMCH8181C,29WIMCH8181C1Z3,,1998-04-15,413,5550154.0,9504773040,,1701
KR/BN/00005/000,Packaging Southern & Co,Shri Packaging Southern & Co,Textile,"236/5, Ring Road, Peenya 1st Stage, Bengaluru, B'lore",Bengaluru Urban,560058,QIWCX3777M,,ESI0000005,2016-04-26,76,1391812.0,,,1311
KR/BN/00007/000,Janatha Motors Mfr,Shri Janatha Motors Mfr,Rubber Plastics,"3rd Main, Rajajinagar Industrial Estate, Bengaluru, B'lore",Bengaluru Urban,560058,TVPAJ2013S,,,2004-10-18,383,7202878.0,,,2219
KR/BN/00011/000,Ceramics Infosys Group,Smt Ceramics Infosys Group,Electronics,"Factory Road, Peenya 1st Stage, Bengaluru, B'lore",Bengaluru Urban,560058,WCVAF7330M,,ESI0000011,1997-05-10,297,4382549.0,,,2630
KR/BN/00013/000,Indian Electronics Co,Shri Indian Electronics Co,Food Processing,"188/7, 1st Cross, Peenya Industrial Area, Bengaluru, 560058",Bengaluru Urban,560058,,,,2010-07-26,410,9768893.0,9640068606,,1079
KR/BN/00014/000,Southern Rubber P Ltd,Shri Southern Rubber P Ltd,Pharmaceuticals,"239/8, Industrial Road, Yeshwanthpur, Bengaluru, B'lore",Bengaluru Urban,560058,LFUPE4816F,29LFUPE4816F9ZY,ESI0000014,2014-12-28,542,8158766.0,9358240188,,2100
KR/BN/00015/000,Karnataka Engg Group,M/s Karnataka Engg Group,Pharmaceuticals,"3rd Main, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,REXPV2527D,,,1992-02-11,317,6727297.0,9847962241,,2100
KR/BN/00017/000,New Valves & Co,M/s New Valves & Co,Engineering,"572/7, 3rd Main, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,IIDHQ2923D,29IIDHQ2923D5ZF,,2014-09-26,460,6808896.0,,,2819
